time,theta,theta_ref,tau_out,tau1,tau2,q1,q2,dq1,dq2,z
18.746,-4.826961885869008e-06,0.0,1.9154852921349216e-05,0.0009610421002786679,-0.00035456751033845625,-0.24661801947706588,0.15124018129957512,0.01952697363156736,-0.011975051627067442,-0.027661377652359626
18.748,-4.8261979379224385e-06,0.0,1.9151820018485193e-05,0.0009608899350565321,-0.000354511370973514,-0.24657897171330134,0.15121623498846326,0.01952388188226299,-0.011973155555932037,-0.027656997944057224
18.75,-4.825434105312429e-06,0.0,1.9148787596855325e-05,0.0009607377939372031,-0.00035445524049085666,-0.24653993013205688,0.15119229246889235,0.019520790622227804,-0.011971259785457196,-0.027652618929207253
18.752,-4.824670388117042e-06,0.0,1.914575565635466e-05,0.0009605856769164904,-0.00035439911888920196,-0.2465008947323541,0.15116835374026116,0.019517699851388823,-0.01196936431558739,-0.02764824060769992
18.754,-4.823906786419543e-06,0.0,1.914272419690649e-05,0.0009604335839907279,-0.0003543430061672377,-0.24646186551321475,0.15114441880196863,0.019514609569673082,-0.011967469146267236,-0.027643862979425435
18.756,-4.823143300292793e-06,0.0,1.9139693218399575e-05,0.0009602815151555882,-0.00035428690232367947,-0.24642284247366072,0.15112048765341374,0.01951151977700747,-0.0119655742774415,-0.027639486044274037
18.758,-4.8223799298165865e-06,0.0,1.9136662720757593e-05,0.0009601294704074091,-0.00035423080735721307,-0.24638382561271407,0.15109656029399562,0.019508430473318877,-0.011963679709055087,-0.02763510980213598
18.76,-4.821616675060314e-06,0.0,1.9133632703869478e-05,0.0009599774497418735,-0.0003541747212665538,-0.246344814929397,0.15107263672311352,0.019505341658534063,-0.011961785441053047,-0.027630734252901534
18.762,-4.820853536098568e-06,0.0,1.9130603167651904e-05,0.0009598254531551836,-0.00035411864405039656,-0.24630581042273184,0.15104871694016675,0.01950225333257976,-0.01195989147338057,-0.027626359396460985
18.764,-4.820090513000738e-06,0.0,1.9127574112007454e-05,0.0009596734806432742,-0.00035406257570743966,-0.24626681209174106,0.15102480094455478,0.019499165495382616,-0.011957997805982978,-0.02762198523270464
18.766000000000002,-4.8193276058379475e-06,0.0,1.91245455368523e-05,0.0009595215322023386,-0.0003540065162363752,-0.24622781993544732,0.15100088873567716,0.019496078146869256,-0.011956104438805732,-0.027617611761522814
18.768,-4.81856481467785e-06,0.0,1.9121517442095182e-05,0.000959369607828404,-0.0003539504656358899,-0.2461888339528734,0.15097698031293358,0.019492991286966244,-0.01195421137179442,-0.02761323898280586
18.77,-4.817802139582897e-06,0.0,1.911848982763037e-05,0.000959217707517255,-0.000353894423904692,-0.2461498541430422,0.1509530756757238,0.019489904915600032,-0.011952318604894763,-0.02760886689644413
18.772000000000002,-4.817039580620741e-06,0.0,1.9115462693379313e-05,0.0009590658312651681,-0.0003538383910414612,-0.2461108805049768,0.1509291748234477,0.019486819032697066,-0.01195042613805261,-0.027604495502327995
18.774,-4.8162771378520985e-06,0.0,1.9112436039241826e-05,0.0009589139790680231,-0.00035378236704489916,-0.24607191303770043,0.15090527775550527,0.0194837336381837,-0.011948533971213938,-0.027600124800347847
